scope,dataset,cohort,task,field,n,present_n,missing_n,present_rate
subject,HAMD-17,PDCH共同24人验证,等级,severity_level_raw,1152,1152,0,1.0
subject,HAMD-17,PDCH共同24人验证,等级,overall_confidence_score,1152,1152,0,1.0
subject,HAMD-17,PDCH共同24人验证,等级,class_probabilities_json,1152,1152,0,1.0
subject,HAMD-17,PDCH共同24人验证,等级,global_key_evidence,1152,1150,2,0.9982638888888888
subject,HAMD-17,PDCH共同24人验证,等级,reasoning_chain,1152,1152,0,1.0
subject,HAMD-17,PDCH共同24人验证,等级,reported_total_score,1152,0,1152,0.0
subject,HAMD-17,PDCH共同24人验证,等级,operational_item_sum_excluding9,1152,0,1152,0.0
subject,HAMD-17,PDCH共同24人验证,等级,triggered_dimensions,1152,0,1152,0.0
subject,HAMD-17,PDCH共同24人验证,等级,raw_response_present,1152,1152,0,1.0
subject,HAMD-17,PDCH共同24人验证,等级,metadata_prompt_version,1152,1152,0,1.0
subject,HAMD-17,PDCH共同24人验证,等级,metadata_temperature,1152,1152,0,1.0
subject,HAMD-17,PDCH共同24人验证,等级,metadata_top_p,1152,1152,0,1.0
subject,HAMD-17,PDCH共同24人验证,等级,metadata_top_k,1152,1152,0,1.0
subject,HAMD-17,PDCH共同24人验证,等级,metadata_max_tokens,1152,1152,0,1.0
subject,HAMD-17,PDCH共同24人验证,评分,severity_level_raw,1152,0,1152,0.0
subject,HAMD-17,PDCH共同24人验证,评分,overall_confidence_score,1152,0,1152,0.0
subject,HAMD-17,PDCH共同24人验证,评分,class_probabilities_json,1152,0,1152,0.0
subject,HAMD-17,PDCH共同24人验证,评分,global_key_evidence,1152,0,1152,0.0
subject,HAMD-17,PDCH共同24人验证,评分,reasoning_chain,1152,1152,0,1.0
subject,HAMD-17,PDCH共同24人验证,评分,reported_total_score,1152,1152,0,1.0
subject,HAMD-17,PDCH共同24人验证,评分,operational_item_sum_excluding9,1152,1152,0,1.0
subject,HAMD-17,PDCH共同24人验证,评分,triggered_dimensions,1152,1143,9,0.9921875
subject,HAMD-17,PDCH共同24人验证,评分,raw_response_present,1152,1152,0,1.0
subject,HAMD-17,PDCH共同24人验证,评分,metadata_prompt_version,1152,1152,0,1.0
subject,HAMD-17,PDCH共同24人验证,评分,metadata_temperature,1152,1152,0,1.0
subject,HAMD-17,PDCH共同24人验证,评分,metadata_top_p,1152,1152,0,1.0
subject,HAMD-17,PDCH共同24人验证,评分,metadata_top_k,1152,1152,0,1.0
subject,HAMD-17,PDCH共同24人验证,评分,metadata_max_tokens,1152,1152,0,1.0
subject,HAMD-17,PDCH标签99人,等级,severity_level_raw,3960,3960,0,1.0
subject,HAMD-17,PDCH标签99人,等级,overall_confidence_score,3960,3960,0,1.0
subject,HAMD-17,PDCH标签99人,等级,class_probabilities_json,3960,3960,0,1.0
subject,HAMD-17,PDCH标签99人,等级,global_key_evidence,3960,3960,0,1.0
subject,HAMD-17,PDCH标签99人,等级,reasoning_chain,3960,3960,0,1.0
subject,HAMD-17,PDCH标签99人,等级,reported_total_score,3960,0,3960,0.0
subject,HAMD-17,PDCH标签99人,等级,operational_item_sum_excluding9,3960,0,3960,0.0
subject,HAMD-17,PDCH标签99人,等级,triggered_dimensions,3960,0,3960,0.0
subject,HAMD-17,PDCH标签99人,等级,raw_response_present,3960,3960,0,1.0
subject,HAMD-17,PDCH标签99人,等级,metadata_prompt_version,3960,3960,0,1.0
subject,HAMD-17,PDCH标签99人,等级,metadata_temperature,3960,3960,0,1.0
subject,HAMD-17,PDCH标签99人,等级,metadata_top_p,3960,3960,0,1.0
subject,HAMD-17,PDCH标签99人,等级,metadata_top_k,3960,3960,0,1.0
subject,HAMD-17,PDCH标签99人,等级,metadata_max_tokens,3960,3960,0,1.0
subject,HAMD-17,PDCH标签99人,评分,severity_level_raw,3960,0,3960,0.0
subject,HAMD-17,PDCH标签99人,评分,overall_confidence_score,3960,0,3960,0.0
subject,HAMD-17,PDCH标签99人,评分,class_probabilities_json,3960,0,3960,0.0
subject,HAMD-17,PDCH标签99人,评分,global_key_evidence,3960,0,3960,0.0
subject,HAMD-17,PDCH标签99人,评分,reasoning_chain,3960,3960,0,1.0
subject,HAMD-17,PDCH标签99人,评分,reported_total_score,3960,3960,0,1.0
subject,HAMD-17,PDCH标签99人,评分,operational_item_sum_excluding9,3960,3960,0,1.0
subject,HAMD-17,PDCH标签99人,评分,triggered_dimensions,3960,3930,30,0.9924242424242424
subject,HAMD-17,PDCH标签99人,评分,raw_response_present,3960,3960,0,1.0
subject,HAMD-17,PDCH标签99人,评分,metadata_prompt_version,3960,3960,0,1.0
subject,HAMD-17,PDCH标签99人,评分,metadata_temperature,3960,3960,0,1.0
subject,HAMD-17,PDCH标签99人,评分,metadata_top_p,3960,3960,0,1.0
subject,HAMD-17,PDCH标签99人,评分,metadata_top_k,3960,3960,0,1.0
subject,HAMD-17,PDCH标签99人,评分,metadata_max_tokens,3960,3960,0,1.0
subject,PHQ-8,DAIC-WOZ全量189人,等级,severity_level_raw,4536,4536,0,1.0
subject,PHQ-8,DAIC-WOZ全量189人,等级,overall_confidence_score,4536,4536,0,1.0
subject,PHQ-8,DAIC-WOZ全量189人,等级,class_probabilities_json,4536,4536,0,1.0
subject,PHQ-8,DAIC-WOZ全量189人,等级,global_key_evidence,4536,4504,32,0.9929453262786596
subject,PHQ-8,DAIC-WOZ全量189人,等级,reasoning_chain,4536,4536,0,1.0
subject,PHQ-8,DAIC-WOZ全量189人,等级,reported_total_score,4536,0,4536,0.0
subject,PHQ-8,DAIC-WOZ全量189人,等级,operational_item_sum_excluding9,4536,0,4536,0.0
subject,PHQ-8,DAIC-WOZ全量189人,等级,triggered_dimensions,4536,0,4536,0.0
subject,PHQ-8,DAIC-WOZ全量189人,等级,raw_response_present,4536,4536,0,1.0
subject,PHQ-8,DAIC-WOZ全量189人,等级,metadata_prompt_version,4536,4536,0,1.0
subject,PHQ-8,DAIC-WOZ全量189人,等级,metadata_temperature,4536,4536,0,1.0
subject,PHQ-8,DAIC-WOZ全量189人,等级,metadata_top_p,4536,4536,0,1.0
subject,PHQ-8,DAIC-WOZ全量189人,等级,metadata_top_k,4536,4536,0,1.0
subject,PHQ-8,DAIC-WOZ全量189人,等级,metadata_max_tokens,4536,4536,0,1.0
subject,PHQ-8,DAIC-WOZ全量189人,评分,severity_level_raw,4536,0,4536,0.0
subject,PHQ-8,DAIC-WOZ全量189人,评分,overall_confidence_score,4536,1,4535,0.0002204585537918871
subject,PHQ-8,DAIC-WOZ全量189人,评分,class_probabilities_json,4536,0,4536,0.0
subject,PHQ-8,DAIC-WOZ全量189人,评分,global_key_evidence,4536,0,4536,0.0
subject,PHQ-8,DAIC-WOZ全量189人,评分,reasoning_chain,4536,4536,0,1.0
subject,PHQ-8,DAIC-WOZ全量189人,评分,reported_total_score,4536,4536,0,1.0
subject,PHQ-8,DAIC-WOZ全量189人,评分,operational_item_sum_excluding9,4536,4536,0,1.0
subject,PHQ-8,DAIC-WOZ全量189人,评分,triggered_dimensions,4536,0,4536,0.0
subject,PHQ-8,DAIC-WOZ全量189人,评分,raw_response_present,4536,4536,0,1.0
subject,PHQ-8,DAIC-WOZ全量189人,评分,metadata_prompt_version,4536,4536,0,1.0
subject,PHQ-8,DAIC-WOZ全量189人,评分,metadata_temperature,4536,4536,0,1.0
subject,PHQ-8,DAIC-WOZ全量189人,评分,metadata_top_p,4536,4536,0,1.0
subject,PHQ-8,DAIC-WOZ全量189人,评分,metadata_top_k,4536,4536,0,1.0
subject,PHQ-8,DAIC-WOZ全量189人,评分,metadata_max_tokens,4536,4536,0,1.0
item_deduplicated,HAMD-17,PDCH共同24人验证,评分,pred_item_score,19584,19584,0,1.0
item_deduplicated,HAMD-17,PDCH共同24人验证,评分,confidence_score,19584,19584,0,1.0
item_deduplicated,HAMD-17,PDCH共同24人验证,评分,evidence_text_clean,19584,18601,983,0.9498059640522876
