dataset,prompt_source_variant,condition,prompt_template_id,feature,feature_value,feature_evidence_quote,auto_confidence,review_required,coding_basis
HAMD-17,HAMD_code,C01,PROMPT_1A06DFC3233F,evidence_requirement,required,- key_evidence 摘自输入文本。,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C01,PROMPT_1A06DFC3233F,evidence_quote_required,yes,"  ""key_evidence"": [""原文引用1"", ""原文引用2"", ""...""],",high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C01,PROMPT_1A06DFC3233F,explicit_scoring_anchors,partial,"  ""severity_level"": ""正常 / 轻度抑郁 / 中度抑郁 / 重度抑郁"",",medium,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C01,PROMPT_1A06DFC3233F,negation_handling,absent,,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C01,PROMPT_1A06DFC3233F,missing_information_rule,unspecified,,high,yes,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C01,PROMPT_1A06DFC3233F,temporal_constraint,generic,2. 基于输入文本线索和 HAMD-17 症状维度与严重程度各维度，判断来访者当前的整体抑郁严重程度等级。,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C01,PROMPT_1A06DFC3233F,frequency_requirement,absent,,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C01,PROMPT_1A06DFC3233F,inference_permission,moderate,2. 基于输入文本线索和 HAMD-17 症状维度与严重程度各维度，判断来访者当前的整体抑郁严重程度等级。,medium,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C01,PROMPT_1A06DFC3233F,speaker_restriction,absent,,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C01,PROMPT_1A06DFC3233F,abstention_permission,no,,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C01,PROMPT_1A06DFC3233F,output_rigidity,strict_json_schema,- 仅输出纯 JSON 对象，不要输出任何代码块标记（如 ```json）。,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C01,PROMPT_1A06DFC3233F,itemwise_reasoning_requirement,no,,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C01,PROMPT_1A06DFC3233F,uncertainty_requirement,confidence_required,"  ""confidence_score"": 0.00,",high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C02,PROMPT_1A06DFC3233F,evidence_requirement,required,- key_evidence 摘自输入文本。,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C02,PROMPT_1A06DFC3233F,evidence_quote_required,yes,"  ""key_evidence"": [""原文引用1"", ""原文引用2"", ""...""],",high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C02,PROMPT_1A06DFC3233F,explicit_scoring_anchors,partial,"  ""severity_level"": ""正常 / 轻度抑郁 / 中度抑郁 / 重度抑郁"",",medium,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C02,PROMPT_1A06DFC3233F,negation_handling,absent,,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C02,PROMPT_1A06DFC3233F,missing_information_rule,unspecified,,high,yes,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C02,PROMPT_1A06DFC3233F,temporal_constraint,generic,2. 基于输入文本线索和 HAMD-17 症状维度与严重程度各维度，判断来访者当前的整体抑郁严重程度等级。,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C02,PROMPT_1A06DFC3233F,frequency_requirement,absent,,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C02,PROMPT_1A06DFC3233F,inference_permission,moderate,2. 基于输入文本线索和 HAMD-17 症状维度与严重程度各维度，判断来访者当前的整体抑郁严重程度等级。,medium,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C02,PROMPT_1A06DFC3233F,speaker_restriction,absent,,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C02,PROMPT_1A06DFC3233F,abstention_permission,no,,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C02,PROMPT_1A06DFC3233F,output_rigidity,strict_json_schema,- 仅输出纯 JSON 对象，不要输出任何代码块标记（如 ```json）。,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C02,PROMPT_1A06DFC3233F,itemwise_reasoning_requirement,no,,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C02,PROMPT_1A06DFC3233F,uncertainty_requirement,confidence_required,"  ""confidence_score"": 0.00,",high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C03,PROMPT_2F50ED43849A,evidence_requirement,required,- key_evidence 摘自输入文本或填 null。,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C03,PROMPT_2F50ED43849A,evidence_quote_required,yes,"  ""dimensions"": [{""dimension_id"":1,""dimension_name"":""抑郁情绪"",""score"":0,""key_evidence"":""原文引用或null"",""reasoning"":""该维度打分的临床推断依据"",""confidence_score"":0.00}],",high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C03,PROMPT_2F50ED43849A,explicit_scoring_anchors,partial,你的任务是基于该文本，对来访者进行汉密尔顿抑郁量表（HAMD-17）抑郁症状评分。,medium,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C03,PROMPT_2F50ED43849A,negation_handling,explicit,14. 性症状（指性欲减退，月经紊乱等）：0=正常，没有性症状；1=轻度；2=重度；9=不能肯定，或该项对被评者不适合（不计入总分）。,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C03,PROMPT_2F50ED43849A,missing_information_rule,abstain_9,14. 性症状（指性欲减退，月经紊乱等）：0=正常，没有性症状；1=轻度；2=重度；9=不能肯定，或该项对被评者不适合（不计入总分）。,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C03,PROMPT_2F50ED43849A,temporal_constraint,explicit_window,4. 入睡困难（初段失眠，采用0～2分的3级评分法。各级的标准为：（0）无；（1）轻～中度；（2）重度）：0=正常，没有入睡困难；1=主诉有入睡困难，上床半小时后仍不能入睡（要注意平时病人入睡的时间）；2=主诉每晚均有入睡困难。,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C03,PROMPT_2F50ED43849A,frequency_requirement,explicit,4. 入睡困难（初段失眠，采用0～2分的3级评分法。各级的标准为：（0）无；（1）轻～中度；（2）重度）：0=正常，没有入睡困难；1=主诉有入睡困难，上床半小时后仍不能入睡（要注意平时病人入睡的时间）；2=主诉每晚均有入睡困难。,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C03,PROMPT_2F50ED43849A,inference_permission,moderate,2. 基于输入文本线索，评估来访者在 HAMD-17 量表17个维度上的得分，并计算total_score。,medium,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C03,PROMPT_2F50ED43849A,speaker_restriction,absent,,high,no,prompt text/code output only; no model performance fields used
HAMD-17,HAMD_code,C03,PROMPT_2F50ED43849A,abstention_permission,required_when_insufficient,14. 性症状（指性欲减退，月经紊乱等）：0=正常，没有性症状；1=轻度；2=重度；9=不能肯定，或该项对被评者不适合（不计入总分）。,high,no,prompt text/code output only; no model performance fields used
