condition_id,inner_mean_mae,inner_se,inner_valid_fold_n,scale,cohort,model,thinking_mode,item_id,item_name
3,0.7878947368421052,0.05093040169853872,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,1,抑郁情绪
4,0.7363157894736843,0.05029277165643615,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,1,抑郁情绪
7,0.7078947368421054,0.04753625238550811,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,1,抑郁情绪
8,0.7263157894736842,0.0656577628940771,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,1,抑郁情绪
11,0.7178947368421053,0.03962602183727506,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,1,抑郁情绪
12,0.7768421052631579,0.06153282123097119,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,1,抑郁情绪
15,0.7178947368421053,0.08105690351011564,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,1,抑郁情绪
16,0.79,0.09539392014169455,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,1,抑郁情绪
3,0.5668421052631578,0.08034120450475109,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,2,有罪感
4,0.49526315789473685,0.05834395101892411,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,2,有罪感
7,0.5173684210526316,0.10537691221899066,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,2,有罪感
8,0.44684210526315793,0.10423644015920588,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,2,有罪感
11,0.5457894736842106,0.06451717115591181,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,2,有罪感
12,0.516842105263158,0.06423209301317516,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,2,有罪感
15,0.578421052631579,0.10217306484614916,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,2,有罪感
16,0.49631578947368415,0.10117933394586331,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,2,有罪感
3,0.5252631578947369,0.0512354296564161,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,3,自杀
4,0.6784210526315789,0.057168894938388067,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,3,自杀
7,0.6589473684210526,0.10828107980514098,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,3,自杀
8,0.7921052631578946,0.10623563940755668,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,3,自杀
11,0.618421052631579,0.07225589337503081,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,3,自杀
12,0.7089473684210527,0.05001107910494431,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,3,自杀
15,0.4957894736842105,0.03946140159784599,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,3,自杀
16,0.49631578947368415,0.08208079932437629,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,3,自杀
3,0.4121052631578948,0.0767031909465639,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,4,入睡困难
4,0.4526315789473684,0.05910809854004264,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,4,入睡困难
7,0.5021052631578946,0.09186208499310136,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,4,入睡困难
8,0.4852631578947369,0.03507609456556273,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,4,入睡困难
11,0.3521052631578947,0.03669519581800707,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,4,入睡困难
12,0.43315789473684213,0.034708920197468525,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,4,入睡困难
15,0.4142105263157895,0.05785046153901461,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,4,入睡困难
16,0.4342105263157895,0.0659891706048736,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,4,入睡困难
3,0.4663157894736842,0.069512548937827,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,5,睡眠不深
4,0.5268421052631579,0.04627689754658793,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,5,睡眠不深
7,0.4968421052631579,0.08181798595348558,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,5,睡眠不深
8,0.5978947368421054,0.08089441153240758,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,5,睡眠不深
11,0.5684210526315789,0.09182287538088368,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,5,睡眠不深
12,0.5168421052631579,0.053626129571815874,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,5,睡眠不深
15,0.5178947368421053,0.09412595439547333,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,5,睡眠不深
16,0.48578947368421055,0.0767212459784611,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,5,睡眠不深
3,0.3436842105263158,0.04039795118361567,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,6,早醒
4,0.38473684210526315,0.06773645360376054,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,6,早醒
7,0.37421052631578944,0.02703491125550069,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,6,早醒
8,0.38473684210526315,0.07133181020284292,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,6,早醒
11,0.43473684210526314,0.0589050600049166,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,6,早醒
12,0.3631578947368421,0.08225105140400159,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,6,早醒
15,0.34578947368421054,0.0670180031214171,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,6,早醒
16,0.36578947368421055,0.06271776467269992,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,6,早醒
3,0.6484210526315789,0.09536560353686299,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,7,工作和活动
4,0.6273684210526317,0.06707481249257524,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,7,工作和活动
7,0.7173684210526315,0.0828700882317963,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,7,工作和活动
8,0.6357894736842105,0.05433175000100535,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,7,工作和活动
11,0.5847368421052632,0.08434775003690428,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,7,工作和活动
12,0.6757894736842105,0.05325551224509567,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,7,工作和活动
15,0.728421052631579,0.04536249808693278,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,7,工作和活动
16,0.828421052631579,0.06431721076903159,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,7,工作和活动
3,0.5873684210526317,0.1019627328584653,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,8,迟滞
4,0.6068421052631578,0.052133166372387935,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,8,迟滞
7,0.6868421052631579,0.0366630989618276,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,8,迟滞
8,0.7663157894736841,0.07832385357463692,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,8,迟滞
11,0.5868421052631578,0.034442533133360834,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,8,迟滞
12,0.5657894736842105,0.029233040162102774,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,8,迟滞
15,0.7278947368421053,0.055504485606459514,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,8,迟滞
16,0.8384210526315791,0.05783250243548292,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,8,迟滞
3,0.5957894736842106,0.05260920577100509,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,9,激越
4,0.6352631578947369,0.059879842750854284,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,9,激越
7,0.7452631578947368,0.05697474777176737,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,9,激越
8,0.7373684210526317,0.05092904194091412,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,9,激越
11,0.5752631578947368,0.05695164883222559,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,9,激越
12,0.5352631578947368,0.02913337369073272,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,9,激越
15,0.6663157894736841,0.0608310406985231,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,9,激越
16,0.7057894736842105,0.059994228715972125,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,9,激越
3,0.5852631578947368,0.06298551035941088,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,10,精神性焦虑
4,0.5663157894736843,0.027680407983799372,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,10,精神性焦虑
7,0.5778947368421052,0.07696007527020467,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,10,精神性焦虑
8,0.6478947368421053,0.08424094845217428,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,10,精神性焦虑
11,0.6257894736842105,0.044507150286137144,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,10,精神性焦虑
12,0.5552631578947368,0.03385442192175949,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,10,精神性焦虑
15,0.5242105263157895,0.06257073559507341,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,10,精神性焦虑
16,0.4936842105263158,0.06407556999637311,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,10,精神性焦虑
3,0.5563157894736841,0.038049756024421566,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,11,躯体性焦虑
4,0.49421052631578943,0.054113351842640725,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,11,躯体性焦虑
7,0.5147368421052632,0.038475088173678035,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,11,躯体性焦虑
8,0.5542105263157894,0.06084356217523547,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,11,躯体性焦虑
11,0.5852631578947368,0.021614220208822178,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,11,躯体性焦虑
12,0.5347368421052632,0.047254248369005596,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,11,躯体性焦虑
15,0.5352631578947368,0.06402150781263964,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,11,躯体性焦虑
16,0.5247368421052632,0.05483291164479579,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,11,躯体性焦虑
3,0.1626315789473684,0.026932253162106793,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,12,胃肠道症状
4,0.22105263157894733,0.06393707952748666,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,12,胃肠道症状
7,0.2931578947368421,0.019384575642845146,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,12,胃肠道症状
8,0.2431578947368421,0.04954502135708731,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,12,胃肠道症状
11,0.16157894736842104,0.00972616769082965,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,12,胃肠道症状
12,0.17210526315789476,0.020880878341976182,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,12,胃肠道症状
15,0.2121052631578947,0.018544697818366176,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,12,胃肠道症状
16,0.24368421052631578,0.04261695655662877,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,12,胃肠道症状
3,0.31421052631578944,0.05056878697444187,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,13,全身症状
4,0.3731578947368421,0.042419877220231335,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,13,全身症状
7,0.38315789473684214,0.0358281524739316,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,13,全身症状
8,0.3926315789473684,0.073639083925864,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,13,全身症状
11,0.35368421052631577,0.027632832051786085,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,13,全身症状
12,0.36421052631578943,0.038104318104012116,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,13,全身症状
