scale,cohort,model,thinking_mode,item_id,item_name,method,comparison,condition_id,condition_full_name,baseline_condition_id,baseline_condition_full_name,n_common,rho_condition,rho_baseline,delta_rho,delta_ci_low,delta_ci_high,paired_p_value,estimability,fdr_family,q_value_fdr,significant_fdr_05
PHQ-8,DAIC-WOZ全量189人,DeepSeek-V4-Pro,思考,1,兴趣或愉悦感降低,Spearman,相对C03,4,04_全文_不规整_评分_清洗,3,03_全文_不规整_评分_不清洗,185,0.2648844298664068,0.3446336558001232,-0.07974922593371636,-0.1655543144811666,-0.0003655449750651859,0.061193880611938804,正式,PHQ-8|DAIC-WOZ全量189人|DeepSeek-V4-Pro|思考|Spearman,0.31611384316113844,False
PHQ-8,DAIC-WOZ全量189人,DeepSeek-V4-Pro,思考,1,兴趣或愉悦感降低,Spearman,相对C03,7,07_全文_规整_评分_不清洗,3,03_全文_不规整_评分_不清洗,186,0.4882041676841311,0.3376611946984323,0.1505429729856988,0.03966533000083291,0.2624226624608936,0.011898810118988102,正式,PHQ-8|DAIC-WOZ全量189人|DeepSeek-V4-Pro|思考|Spearman,0.2221111222211112,False
PHQ-8,DAIC-WOZ全量189人,DeepSeek-V4-Pro,思考,1,兴趣或愉悦感降低,Spearman,相对C03,8,08_全文_规整_评分_清洗,3,03_全文_不规整_评分_不清洗,184,0.4287561887412362,0.33361489475124567,0.09514129398999055,-0.01805410642222432,0.20501956686839728,0.10318968103189681,正式,PHQ-8|DAIC-WOZ全量189人|DeepSeek-V4-Pro|思考|Spearman,0.4329251285397776,False
PHQ-8,DAIC-WOZ全量189人,DeepSeek-V4-Pro,思考,1,兴趣或愉悦感降低,Spearman,相对C03,11,11_事件序列_不规整_评分_不清洗,3,03_全文_不规整_评分_不清洗,184,0.35366926597756176,0.3273237253959908,0.02634554058157096,-0.05896497306219548,0.10706502571835777,0.537946205379462,正式,PHQ-8|DAIC-WOZ全量189人|DeepSeek-V4-Pro|思考|Spearman,0.8509846689749628,False
PHQ-8,DAIC-WOZ全量189人,DeepSeek-V4-Pro,思考,1,兴趣或愉悦感降低,Spearman,相对C03,12,12_事件序列_不规整_评分_清洗,3,03_全文_不规整_评分_不清洗,187,0.32539397537666176,0.3324807776826112,-0.007086802305949436,-0.10206259445784627,0.08341184959059002,0.8901109889011098,正式,PHQ-8|DAIC-WOZ全量189人|DeepSeek-V4-Pro|思考|Spearman,0.9513765604571618,False
PHQ-8,DAIC-WOZ全量189人,DeepSeek-V4-Pro,思考,1,兴趣或愉悦感降低,Spearman,相对C03,15,15_事件序列_规整_评分_不清洗,3,03_全文_不规整_评分_不清洗,185,0.5371586967387203,0.3304947430952639,0.2066639536434564,0.10961186215885234,0.3153278617920747,0.00019998000199980003,正式,PHQ-8|DAIC-WOZ全量189人|DeepSeek-V4-Pro|思考|Spearman,0.011198880111988802,True
PHQ-8,DAIC-WOZ全量189人,DeepSeek-V4-Pro,思考,1,兴趣或愉悦感降低,Spearman,相对C03,16,16_事件序列_规整_评分_清洗,3,03_全文_不规整_评分_不清洗,185,0.3914786045994817,0.33936951117390196,0.05210909342557973,-0.058748514412275875,0.16505263068496429,0.390960903909609,正式,PHQ-8|DAIC-WOZ全量189人|DeepSeek-V4-Pro|思考|Spearman,0.6841815818418158,False
PHQ-8,DAIC-WOZ全量189人,DeepSeek-V4-Pro,思考,2,情绪低落、抑郁或无望,Spearman,相对C03,4,04_全文_不规整_评分_清洗,3,03_全文_不规整_评分_不清洗,185,0.6040983265132662,0.6326280076877068,-0.028529681174440547,-0.10931454035828088,0.04932249645765001,0.5035496450354965,正式,PHQ-8|DAIC-WOZ全量189人|DeepSeek-V4-Pro|思考|Spearman,0.8509846689749628,False
PHQ-8,DAIC-WOZ全量189人,DeepSeek-V4-Pro,思考,2,情绪低落、抑郁或无望,Spearman,相对C03,7,07_全文_规整_评分_不清洗,3,03_全文_不规整_评分_不清洗,186,0.6406414405444331,0.6414036538493124,-0.0007622133048793556,-0.07986664240658443,0.07841127401664504,0.9869013098690131,正式,PHQ-8|DAIC-WOZ全量189人|DeepSeek-V4-Pro|思考|Spearman,0.986901309869013,False
PHQ-8,DAIC-WOZ全量189人,DeepSeek-V4-Pro,思考,2,情绪低落、抑郁或无望,Spearman,相对C03,8,08_全文_规整_评分_清洗,3,03_全文_不规整_评分_不清洗,184,0.6429265028552478,0.6584890008585427,-0.0155624980032949,-0.10696623356976073,0.07196996098353578,0.7361263873612639,正式,PHQ-8|DAIC-WOZ全量189人|DeepSeek-V4-Pro|思考|Spearman,0.867913208679132,False
PHQ-8,DAIC-WOZ全量189人,DeepSeek-V4-Pro,思考,2,情绪低落、抑郁或无望,Spearman,相对C03,11,11_事件序列_不规整_评分_不清洗,3,03_全文_不规整_评分_不清洗,184,0.669766783948892,0.6423601111039429,0.02740667284494913,-0.02247490904144301,0.0803738848458521,0.29527047295270475,正式,PHQ-8|DAIC-WOZ全量189人|DeepSeek-V4-Pro|思考|Spearman,0.5511715495117155,False
PHQ-8,DAIC-WOZ全量189人,DeepSeek-V4-Pro,思考,2,情绪低落、抑郁或无望,Spearman,相对C03,12,12_事件序列_不规整_评分_清洗,3,03_全文_不规整_评分_不清洗,187,0.6650127550633573,0.6423624322214645,0.022650322841892834,-0.05879141931984024,0.10141538807070156,0.5835416458354165,正式,PHQ-8|DAIC-WOZ全量189人|DeepSeek-V4-Pro|思考|Spearman,0.8509846689749628,False
PHQ-8,DAIC-WOZ全量189人,DeepSeek-V4-Pro,思考,2,情绪低落、抑郁或无望,Spearman,相对C03,15,15_事件序列_规整_评分_不清洗,3,03_全文_不规整_评分_不清洗,185,0.5606506265978248,0.6421625129810921,-0.08151188638326723,-0.16020127451304408,-0.007674580780599314,0.0336966303369663,正式,PHQ-8|DAIC-WOZ全量189人|DeepSeek-V4-Pro|思考|Spearman,0.30796920307969206,False
PHQ-8,DAIC-WOZ全量189人,DeepSeek-V4-Pro,思考,2,情绪低落、抑郁或无望,Spearman,相对C03,16,16_事件序列_规整_评分_清洗,3,03_全文_不规整_评分_不清洗,185,0.49070748521519325,0.6370509478829669,-0.14634346266777365,-0.2482535014534675,-0.04348370324696302,0.0072992700729927005,正式,PHQ-8|DAIC-WOZ全量189人|DeepSeek-V4-Pro|思考|Spearman,0.20437956204379562,False
PHQ-8,DAIC-WOZ全量189人,DeepSeek-V4-Pro,思考,3,睡眠问题,Spearman,相对C03,4,04_全文_不规整_评分_清洗,3,03_全文_不规整_评分_不清洗,185,0.5902840938962336,0.6257239095179171,-0.035439815621683524,-0.09613494136814545,0.01873098560241921,0.2612738726127387,正式,PHQ-8|DAIC-WOZ全量189人|DeepSeek-V4-Pro|思考|Spearman,0.5045288574590817,False
PHQ-8,DAIC-WOZ全量189人,DeepSeek-V4-Pro,思考,3,睡眠问题,Spearman,相对C03,7,07_全文_规整_评分_不清洗,3,03_全文_不规整_评分_不清洗,186,0.589614953053474,0.6332089151580164,-0.04359396210454236,-0.10821519140684666,0.017413475913402792,0.18568143185681432,正式,PHQ-8|DAIC-WOZ全量189人|DeepSeek-V4-Pro|思考|Spearman,0.4789854347898544,False
PHQ-8,DAIC-WOZ全量189人,DeepSeek-V4-Pro,思考,3,睡眠问题,Spearman,相对C03,8,08_全文_规整_评分_清洗,3,03_全文_不规整_评分_不清洗,184,0.5731519964849001,0.6511193215428983,-0.0779673250579982,-0.1594751436535274,-0.0030732057889336544,0.06209379062093791,正式,PHQ-8|DAIC-WOZ全量189人|DeepSeek-V4-Pro|思考|Spearman,0.31611384316113844,False
PHQ-8,DAIC-WOZ全量189人,DeepSeek-V4-Pro,思考,3,睡眠问题,Spearman,相对C03,11,11_事件序列_不规整_评分_不清洗,3,03_全文_不规整_评分_不清洗,184,0.6063582463765319,0.6394818725090424,-0.03312362613251052,-0.08616480402145889,0.015414737893510189,0.20377962203779623,正式,PHQ-8|DAIC-WOZ全量189人|DeepSeek-V4-Pro|思考|Spearman,0.4789854347898544,False
PHQ-8,DAIC-WOZ全量189人,DeepSeek-V4-Pro,思考,3,睡眠问题,Spearman,相对C03,12,12_事件序列_不规整_评分_清洗,3,03_全文_不规整_评分_不清洗,187,0.5876362003587725,0.636313342024124,-0.04867714166535153,-0.0977961587530592,0.0008561270017467612,0.046995300469953004,正式,PHQ-8|DAIC-WOZ全量189人|DeepSeek-V4-Pro|思考|Spearman,0.31611384316113844,False
