scale,cohort,model,thinking_mode,condition_id,condition_full_name,scope,structure,task,cleaning,pathway,item_id,item_name,method,n,n_unique_predicted,rho,p_value,ci_low,ci_high,predicted_mean,predicted_zero_rate,predicted_positive_rate,gold_total_mean,estimability
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,03_全文_不规整_评分_不清洗,全文,不规整,逐条评分,不清洗,逐条评分,1,抑郁情绪,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,03_全文_不规整_评分_不清洗,全文,不规整,逐条评分,不清洗,逐条评分,2,有罪感,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,03_全文_不规整_评分_不清洗,全文,不规整,逐条评分,不清洗,逐条评分,3,自杀,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,03_全文_不规整_评分_不清洗,全文,不规整,逐条评分,不清洗,逐条评分,4,入睡困难,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,03_全文_不规整_评分_不清洗,全文,不规整,逐条评分,不清洗,逐条评分,5,睡眠不深,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,03_全文_不规整_评分_不清洗,全文,不规整,逐条评分,不清洗,逐条评分,6,早醒,Spearman,1,1,,,,,1.0,0.0,1.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,03_全文_不规整_评分_不清洗,全文,不规整,逐条评分,不清洗,逐条评分,7,工作和活动,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,03_全文_不规整_评分_不清洗,全文,不规整,逐条评分,不清洗,逐条评分,8,迟滞,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,03_全文_不规整_评分_不清洗,全文,不规整,逐条评分,不清洗,逐条评分,9,激越,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,03_全文_不规整_评分_不清洗,全文,不规整,逐条评分,不清洗,逐条评分,10,精神性焦虑,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,03_全文_不规整_评分_不清洗,全文,不规整,逐条评分,不清洗,逐条评分,11,躯体性焦虑,Spearman,1,1,,,,,1.0,0.0,1.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,03_全文_不规整_评分_不清洗,全文,不规整,逐条评分,不清洗,逐条评分,12,胃肠道症状,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,03_全文_不规整_评分_不清洗,全文,不规整,逐条评分,不清洗,逐条评分,13,全身症状,Spearman,1,1,,,,,1.0,0.0,1.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,03_全文_不规整_评分_不清洗,全文,不规整,逐条评分,不清洗,逐条评分,14,性症状,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,03_全文_不规整_评分_不清洗,全文,不规整,逐条评分,不清洗,逐条评分,15,疑病,Spearman,1,1,,,,,1.0,0.0,1.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,03_全文_不规整_评分_不清洗,全文,不规整,逐条评分,不清洗,逐条评分,16,体重减轻,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,03_全文_不规整_评分_不清洗,全文,不规整,逐条评分,不清洗,逐条评分,17,自知力,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,04_全文_不规整_评分_清洗,全文,不规整,逐条评分,清洗,逐条评分,1,抑郁情绪,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,04_全文_不规整_评分_清洗,全文,不规整,逐条评分,清洗,逐条评分,2,有罪感,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,04_全文_不规整_评分_清洗,全文,不规整,逐条评分,清洗,逐条评分,3,自杀,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,04_全文_不规整_评分_清洗,全文,不规整,逐条评分,清洗,逐条评分,4,入睡困难,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,04_全文_不规整_评分_清洗,全文,不规整,逐条评分,清洗,逐条评分,5,睡眠不深,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,04_全文_不规整_评分_清洗,全文,不规整,逐条评分,清洗,逐条评分,6,早醒,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,04_全文_不规整_评分_清洗,全文,不规整,逐条评分,清洗,逐条评分,7,工作和活动,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,04_全文_不规整_评分_清洗,全文,不规整,逐条评分,清洗,逐条评分,8,迟滞,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,04_全文_不规整_评分_清洗,全文,不规整,逐条评分,清洗,逐条评分,9,激越,Spearman,1,1,,,,,0.0,1.0,0.0,3.0,不可估计
