dataset,model,mode,condition,pathway,prompt_template_id,cleaned,structured,text_scope,itemwise_scoring,direct_grade,baseline_condition,intended_manipulation,prompt_source,prompt_version_observed,prompt_version_assessment,prompt_language_observed,observed_subject_n,source_row_n,result_coverage_status,data_quality_flag,data_quality_notes,evidence_requirement,evidence_quote_required,explicit_scoring_anchors,negation_handling,missing_information_rule,temporal_constraint,frequency_requirement,inference_permission,speaker_restriction,abstention_permission,output_rigidity,itemwise_reasoning_requirement,aggregation_instruction,uncertainty_requirement,static_character_count,static_line_count,estimated_token_count,numbered_rule_count,instruction_count,output_constraint_count
HAMD-17,GLM-5.2,不思考,C01,direct_grade,PROMPT_000003,否,否,全文,否,是,C01,基线,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx,word-2026-06-25,candidate_source_version,zh,24,24,完整,complete,冻结输入只含提示词设计、模板特征和覆盖元数据；没有金标准、预测、误差、正确性或任何性能字段。,required,yes,none,implicit,infer_best_estimate,generic,absent,moderate,implicit,no,strict_json_schema,no,grade_conversion_required,confidence_required;probability_required,642,22,161,7,17,12
HAMD-17,GLM-5.2,不思考,C02,direct_grade,PROMPT_000003,是,否,全文,否,是,C01,清洗,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx,word-2026-06-25,candidate_source_version,zh,24,24,完整,complete,冻结输入只含提示词设计、模板特征和覆盖元数据；没有金标准、预测、误差、正确性或任何性能字段。,required,yes,none,implicit,infer_best_estimate,generic,absent,moderate,implicit,no,strict_json_schema,no,grade_conversion_required,confidence_required;probability_required,642,22,161,7,17,12
HAMD-17,GLM-5.2,不思考,C03,itemwise_score,PROMPT_000005,否,否,全文,是,否,C03,基线,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx,word-2026-06-25,candidate_source_version,zh,24,24,完整,complete,冻结输入只含提示词设计、模板特征和覆盖元数据；没有金标准、预测、误差、正确性或任何性能字段。,required,yes,complete,explicit,other,explicit_window,explicit,moderate,explicit,yes,strict_json_schema,yes,item_score_required;sum_required,confidence_required,2400,41,600,25,36,11
HAMD-17,GLM-5.2,不思考,C04,itemwise_score,PROMPT_000005,是,否,全文,是,否,C03,清洗,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx,word-2026-06-25,candidate_source_version,zh,24,24,完整,complete,冻结输入只含提示词设计、模板特征和覆盖元数据；没有金标准、预测、误差、正确性或任何性能字段。,required,yes,complete,explicit,other,explicit_window,explicit,moderate,explicit,yes,strict_json_schema,yes,item_score_required;sum_required,confidence_required,2400,41,600,25,36,11
HAMD-17,GLM-5.2,不思考,C05,direct_grade,PROMPT_000015,否,是,全文,否,是,C01,规整/规范化,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx,word-2026-06-25,candidate_source_version,zh,24,24,完整,complete,冻结输入只含提示词设计、模板特征和覆盖元数据；没有金标准、预测、误差、正确性或任何性能字段。,required,yes,none,implicit,infer_best_estimate,absent,absent,moderate,implicit,no,strict_json_schema,no,grade_conversion_required,confidence_required;probability_required,642,22,161,7,17,12
HAMD-17,GLM-5.2,不思考,C06,direct_grade,PROMPT_000015,是,是,全文,否,是,C01,规整/规范化 + 清洗,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx,word-2026-06-25,candidate_source_version,zh,24,24,完整,complete,冻结输入只含提示词设计、模板特征和覆盖元数据；没有金标准、预测、误差、正确性或任何性能字段。,required,yes,none,implicit,infer_best_estimate,absent,absent,moderate,implicit,no,strict_json_schema,no,grade_conversion_required,confidence_required;probability_required,642,22,161,7,17,12
HAMD-17,GLM-5.2,不思考,C07,itemwise_score,PROMPT_000009,否,是,全文,是,否,C03,规整/规范化,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx,word-2026-06-25,candidate_source_version,zh,24,24,完整,complete,冻结输入只含提示词设计、模板特征和覆盖元数据；没有金标准、预测、误差、正确性或任何性能字段。,required,yes,complete,explicit,other,explicit_window,explicit,moderate,explicit,yes,strict_json_schema,yes,item_score_required;sum_required,confidence_required,2400,41,600,25,36,11
HAMD-17,GLM-5.2,不思考,C08,itemwise_score,PROMPT_000009,是,是,全文,是,否,C03,规整/规范化 + 清洗,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx,word-2026-06-25,candidate_source_version,zh,24,24,完整,complete,冻结输入只含提示词设计、模板特征和覆盖元数据；没有金标准、预测、误差、正确性或任何性能字段。,required,yes,complete,explicit,other,explicit_window,explicit,moderate,explicit,yes,strict_json_schema,yes,item_score_required;sum_required,confidence_required,2400,41,600,25,36,11
HAMD-17,GLM-5.2,不思考,C09,direct_grade,PROMPT_000022,否,否,事件序列,否,是,C01,事件序列输入范围,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx,word-2026-06-25,candidate_source_version,zh,24,24,完整,complete,冻结输入只含提示词设计、模板特征和覆盖元数据；没有金标准、预测、误差、正确性或任何性能字段。,required,yes,none,implicit,infer_best_estimate,absent,absent,moderate,implicit,no,strict_json_schema,no,grade_conversion_required,confidence_required;probability_required,706,22,177,7,17,12
HAMD-17,GLM-5.2,不思考,C10,direct_grade,PROMPT_000022,是,否,事件序列,否,是,C01,事件序列输入范围 + 清洗,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx,word-2026-06-25,candidate_source_version,zh,24,24,完整,complete,冻结输入只含提示词设计、模板特征和覆盖元数据；没有金标准、预测、误差、正确性或任何性能字段。,required,yes,none,implicit,infer_best_estimate,absent,absent,moderate,implicit,no,strict_json_schema,no,grade_conversion_required,confidence_required;probability_required,706,22,177,7,17,12
