scale,model,item_id,item_name,top_condition_id,top_selection_frequency,normalized_entropy,C03_selection_frequency,condition_distribution
HAMD-17,GLM-5.2,1,抑郁情绪,7,0.36,0.6728181786073747,0.0,"{""C04"": 2, ""C07"": 18, ""C08"": 4, ""C11"": 13, ""C15"": 13}"
HAMD-17,GLM-5.2,2,有罪感,8,0.96,0.0807640630274716,0.0,"{""C04"": 2, ""C08"": 48}"
HAMD-17,GLM-5.2,3,自杀,16,0.58,0.4557127151121798,0.14,"{""C03"": 7, ""C15"": 14, ""C16"": 29}"
HAMD-17,GLM-5.2,4,入睡困难,11,1.0,0.0,0.0,"{""C11"": 50}"
HAMD-17,GLM-5.2,5,睡眠不深,3,0.74,0.3527580663165619,0.74,"{""C03"": 37, ""C07"": 4, ""C16"": 9}"
HAMD-17,GLM-5.2,6,早醒,3,0.6,0.4599072774698712,0.6,"{""C03"": 30, ""C07"": 1, ""C12"": 2, ""C15"": 16, ""C16"": 1}"
HAMD-17,GLM-5.2,7,工作和活动,11,0.82,0.3128235788330533,0.04,"{""C03"": 2, ""C04"": 5, ""C08"": 2, ""C11"": 41}"
HAMD-17,GLM-5.2,8,迟滞,12,0.54,0.5313675372965893,0.26,"{""C03"": 13, ""C04"": 2, ""C11"": 8, ""C12"": 27}"
HAMD-17,GLM-5.2,9,激越,12,0.92,0.1340597300674243,0.0,"{""C11"": 4, ""C12"": 46}"
HAMD-17,GLM-5.2,10,精神性焦虑,16,0.84,0.25470468485134246,0.0,"{""C12"": 2, ""C15"": 6, ""C16"": 42}"
HAMD-17,GLM-5.2,11,躯体性焦虑,4,0.74,0.4021574632113422,0.0,"{""C04"": 37, ""C07"": 6, ""C15"": 2, ""C16"": 5}"
HAMD-17,GLM-5.2,12,胃肠道症状,3,0.66,0.4073240871121106,0.66,"{""C03"": 33, ""C11"": 12, ""C12"": 5}"
HAMD-17,GLM-5.2,13,全身症状,15,0.94,0.10914830638482544,0.0,"{""C15"": 47, ""C16"": 3}"
HAMD-17,GLM-5.2,15,疑病,4,0.86,0.27242283357697356,0.02,"{""C03"": 1, ""C04"": 43, ""C08"": 1, ""C12"": 1, ""C16"": 4}"
HAMD-17,GLM-5.2,16,体重减轻,16,0.38,0.6364399561271434,0.18,"{""C03"": 9, ""C04"": 17, ""C11"": 4, ""C15"": 1, ""C16"": 19}"
HAMD-17,GLM-5.2,17,自知力,7,0.38,0.6936290729536246,0.24,"{""C03"": 12, ""C04"": 11, ""C07"": 19, ""C08"": 3, ""C11"": 5}"
HAMD-17,Kimi-K2.6,1,抑郁情绪,3,1.0,0.0,1.0,"{""C03"": 50}"
HAMD-17,Kimi-K2.6,2,有罪感,7,0.34,0.7393572494707717,0.2,"{""C03"": 10, ""C04"": 9, ""C07"": 17, ""C11"": 1, ""C12"": 11, ""C15"": 2}"
HAMD-17,Kimi-K2.6,3,自杀,3,0.78,0.3153815696729672,0.78,"{""C03"": 39, ""C11"": 8, ""C12"": 3}"
HAMD-17,Kimi-K2.6,4,入睡困难,3,0.68,0.4399986129156739,0.68,"{""C03"": 34, ""C04"": 2, ""C11"": 10, ""C12"": 4}"
HAMD-17,Kimi-K2.6,5,睡眠不深,16,0.58,0.499151991548596,0.0,"{""C08"": 10, ""C11"": 1, ""C12"": 10, ""C16"": 29}"
HAMD-17,Kimi-K2.6,6,早醒,11,0.58,0.5630050452802599,0.04,"{""C03"": 2, ""C04"": 2, ""C08"": 3, ""C11"": 29, ""C15"": 13, ""C16"": 1}"
HAMD-17,Kimi-K2.6,7,工作和活动,4,0.42,0.555006128040964,0.12,"{""C03"": 6, ""C04"": 21, ""C11"": 20, ""C15"": 3}"
HAMD-17,Kimi-K2.6,8,迟滞,3,0.54,0.4340014944992965,0.54,"{""C03"": 27, ""C11"": 4, ""C12"": 19}"
HAMD-17,Kimi-K2.6,9,激越,3,0.96,0.0807640630274716,0.96,"{""C03"": 48, ""C11"": 2}"
HAMD-17,Kimi-K2.6,10,精神性焦虑,15,0.82,0.3451885986482089,0.04,"{""C03"": 2, ""C07"": 2, ""C08"": 2, ""C12"": 3, ""C15"": 41}"
HAMD-17,Kimi-K2.6,11,躯体性焦虑,15,0.52,0.4516180729247592,0.02,"{""C03"": 1, ""C08"": 1, ""C11"": 1, ""C15"": 26, ""C16"": 21}"
HAMD-17,Kimi-K2.6,12,胃肠道症状,3,0.88,0.1764536217624548,0.88,"{""C03"": 44, ""C15"": 6}"
HAMD-17,Kimi-K2.6,13,全身症状,3,0.68,0.3374380930139795,0.68,"{""C03"": 34, ""C07"": 1, ""C11"": 15}"
HAMD-17,Kimi-K2.6,15,疑病,11,1.0,0.0,0.0,"{""C11"": 50}"
HAMD-17,Kimi-K2.6,16,体重减轻,11,0.52,0.3329485119984006,0.0,"{""C11"": 26, ""C15"": 24}"
HAMD-17,Kimi-K2.6,17,自知力,12,0.64,0.37461872992490824,0.0,"{""C04"": 2, ""C11"": 16, ""C12"": 32}"
HAMD-17,Qwen3.7-Max,1,抑郁情绪,12,0.36,0.6775418582034356,0.1,"{""C03"": 5, ""C07"": 3, ""C08"": 7, ""C11"": 17, ""C12"": 18}"
HAMD-17,Qwen3.7-Max,2,有罪感,3,0.44,0.5930175328773807,0.44,"{""C03"": 22, ""C04"": 15, ""C11"": 9, ""C15"": 4}"
HAMD-17,Qwen3.7-Max,3,自杀,16,0.54,0.6301775627678554,0.16,"{""C03"": 8, ""C04"": 3, ""C11"": 1, ""C12"": 2, ""C15"": 9, ""C16"": 27}"
HAMD-17,Qwen3.7-Max,4,入睡困难,3,0.74,0.30948989967874146,0.74,"{""C03"": 37, ""C15"": 12, ""C16"": 1}"
HAMD-17,Qwen3.7-Max,5,睡眠不深,3,0.94,0.12751422306591523,0.94,"{""C03"": 47, ""C07"": 2, ""C11"": 1}"
HAMD-17,Qwen3.7-Max,6,早醒,3,0.82,0.3185219319815423,0.82,"{""C03"": 41, ""C11"": 3, ""C12"": 2, ""C15"": 4}"
HAMD-17,Qwen3.7-Max,7,工作和活动,3,0.76,0.26501342646150744,0.76,"{""C03"": 38, ""C11"": 12}"
HAMD-17,Qwen3.7-Max,8,迟滞,3,0.94,0.10914830638482544,0.94,"{""C03"": 47, ""C11"": 3}"
HAMD-17,Qwen3.7-Max,9,激越,3,0.84,0.25470468485134246,0.84,"{""C03"": 42, ""C04"": 2, ""C11"": 6}"
HAMD-17,Qwen3.7-Max,10,精神性焦虑,12,0.94,0.12751422306591523,0.0,"{""C11"": 1, ""C12"": 47, ""C16"": 2}"
HAMD-17,Qwen3.7-Max,11,躯体性焦虑,15,0.62,0.5166220559198623,0.0,"{""C11"": 6, ""C12"": 5, ""C15"": 31, ""C16"": 8}"
HAMD-17,Qwen3.7-Max,12,胃肠道症状,3,0.92,0.17405973006742428,0.92,"{""C03"": 46, ""C11"": 1, ""C15"": 1, ""C16"": 2}"
HAMD-17,Qwen3.7-Max,13,全身症状,3,0.78,0.326284716495632,0.78,"{""C03"": 39, ""C11"": 6, ""C12"": 5}"
HAMD-17,Qwen3.7-Max,15,疑病,16,0.6,0.32365019815155627,0.0,"{""C07"": 20, ""C16"": 30}"
HAMD-17,Qwen3.7-Max,16,体重减轻,15,0.6,0.4778874847444949,0.28,"{""C03"": 14, ""C04"": 4, ""C15"": 30, ""C16"": 2}"
HAMD-17,Qwen3.7-Max,17,自知力,3,0.96,0.09409739636080494,0.96,"{""C03"": 48, ""C04"": 1, ""C11"": 1}"
PHQ-8,DeepSeek-V4-Pro,1,兴趣或愉悦感降低,11,0.94,0.10914830638482544,0.0,"{""C11"": 47, ""C15"": 3}"
PHQ-8,DeepSeek-V4-Pro,2,情绪低落、抑郁或无望,3,0.4,0.51784031704249,0.4,"{""C03"": 20, ""C11"": 18, ""C12"": 12}"
PHQ-8,DeepSeek-V4-Pro,3,睡眠问题,3,0.86,0.19474627054761864,0.86,"{""C03"": 43, ""C11"": 7}"
PHQ-8,DeepSeek-V4-Pro,4,疲劳或精力不足,15,0.48,0.5162904999404243,0.0,"{""C04"": 1, ""C07"": 7, ""C12"": 18, ""C15"": 24}"
PHQ-8,DeepSeek-V4-Pro,5,食欲问题,7,0.58,0.5256749391230646,0.0,"{""C07"": 29, ""C08"": 7, ""C15"": 11, ""C16"": 3}"
PHQ-8,DeepSeek-V4-Pro,6,自我评价低或让家人失望,11,0.96,0.0807640630274716,0.04,"{""C03"": 2, ""C11"": 48}"
PHQ-8,DeepSeek-V4-Pro,7,注意力困难,4,0.9,0.18869688434491605,0.0,"{""C04"": 45, ""C07"": 2, ""C12"": 3}"
PHQ-8,DeepSeek-V4-Pro,8,动作或语速改变,3,0.62,0.47595628611912993,0.62,"{""C03"": 31, ""C04"": 10, ""C11"": 1, ""C12"": 8}"
PHQ-8,GLM-5.2,1,兴趣或愉悦感降低,3,0.56,0.3298625070740185,0.56,"{""C03"": 28, ""C11"": 22}"
PHQ-8,GLM-5.2,2,情绪低落、抑郁或无望,11,0.58,0.3271512983445512,0.42,"{""C03"": 21, ""C11"": 29}"
PHQ-8,GLM-5.2,3,睡眠问题,3,0.8,0.24064269829578744,0.8,"{""C03"": 40, ""C04"": 10}"
PHQ-8,GLM-5.2,4,疲劳或精力不足,3,0.68,0.40692175612560444,0.68,"{""C03"": 34, ""C11"": 7, ""C15"": 9}"
PHQ-8,GLM-5.2,5,食欲问题,15,0.42,0.5755415644506708,0.3,"{""C03"": 15, ""C04"": 2, ""C07"": 12, ""C15"": 21}"
PHQ-8,GLM-5.2,6,自我评价低或让家人失望,11,0.66,0.34485202366604856,0.32,"{""C03"": 16, ""C07"": 1, ""C11"": 33}"
PHQ-8,GLM-5.2,7,注意力困难,3,1.0,0.0,1.0,"{""C03"": 50}"
