layer,dataset,source_path,freeze_path,grain,participant_scope,record_or_row_count,condition_scope,model_scope,status,size_bytes,sha256
raw,PDCH clinical_data_cleaned,PDCH\PDCH\clinical_data_cleaned.xlsx,00_RAW_LINEAGE/pdch_raw_and_early_sources.zip,dialogue turn; folder/number/time/speaker/text,early PDCH sample,49,none,none,raw/early source,13079,cdd7195630f9db62b5bfd6ca76945e77753186b5f27557b383f92aad7ccf9709
raw,PDCH整理结果,PDCH\PDCH\PDCH整理结果.xlsx,00_RAW_LINEAGE/pdch_raw_and_early_sources.zip,dialogue turn,PDCH early corpus,32691,none,none,raw/early source,1907731,5009dac2d14de9715e718cd02b6e4715a729a2e61273ae1f304c403c1d37b14f
raw,PDCH整理结果拆分表,PDCH\PDCH\PDCH整理结果拆分表.xlsx,00_RAW_LINEAGE/pdch_raw_and_early_sources.zip,sentence-level split annotation row,PDCH early corpus,28276,none,none,raw/early source,2315149,f1ca77d01d971d68cbbd9fb602ae4cc0720e6ee14b2785ca29e8a82a55b71bf4
raw,DAIC PHQ-8 完整标注报表,PDCH\PDCH\DAIC_PHQ8_完整标注报表.xlsx,00_RAW_LINEAGE/pdch_raw_and_early_sources.zip,DAIC dialogue turn with PHQ gold columns,DAIC participant IDs,30256,none,none,raw/early source,2402469,02f0efcff1ff1f5c37953a856747e5f8279a081af2cc63cb73daea06e3818955
raw,Processed ASR PHQ-8,PDCH\PDCH\Processed_ASR_Detailed_PHQ8.csv,00_RAW_LINEAGE/pdch_raw_and_early_sources.zip,ASR turn + PHQ topic/score fields,DAIC participant IDs,28114,none,none,processed early source,3340799,d8aaeb55206e4e035f786a1af8bb4170aeb85dd652296f761247b789b0754f95
processed,DAIC processed turns.csv,DAIC-WOZ\processed_research\turns.csv,00_RAW_LINEAGE/daic_processed_research.zip,dialogue turn,DAIC-WOZ,47400,C1-C5 where applicable,MPNet/early processing where applicable,processed research layer,5178069,ae984a5bf85ca8836606f04a58e8c6a3b3ed7d60e44452ebb3d5250670b06a20
processed,DAIC processed question_answer_pairs.csv,DAIC-WOZ\processed_research\question_answer_pairs.csv,00_RAW_LINEAGE/daic_processed_research.zip,question-answer pair,DAIC-WOZ,10664,C1-C5 where applicable,MPNet/early processing where applicable,processed research layer,2265259,a6ae6731d9d446745980536ea211f27823b9ba3aee2a915bac5fed282f23ead1
processed,DAIC processed conditions_long.csv,DAIC-WOZ\processed_research\conditions_long.csv,00_RAW_LINEAGE/daic_processed_research.zip,participant × condition row,DAIC-WOZ,108744,C1-C5 where applicable,MPNet/early processing where applicable,processed research layer,5193690,08f97add23142b27d9219777447257ec491070915b4789f92060dafd828f6817
processed,DAIC processed participant_index.csv,DAIC-WOZ\processed_research\participant_index.csv,00_RAW_LINEAGE/daic_processed_research.zip,participant index,DAIC-WOZ,189,C1-C5 where applicable,MPNet/early processing where applicable,processed research layer,25482,098ccf3a9b9c48e60a352c47b4b9593a8c82de533d86eb8deb8efc00abe149f5
processed,DAIC processed split.csv,DAIC-WOZ\processed_research\split.csv,00_RAW_LINEAGE/daic_processed_research.zip,participant split,DAIC-WOZ,189,C1-C5 where applicable,MPNet/early processing where applicable,processed research layer,2012,496365fb531e999f908df513f8c4af66f3c48d88dad8e430fc67783efa31b256
processed,DAIC processed labels_prepared.csv,DAIC-WOZ\processed_research\labels_prepared.csv,00_RAW_LINEAGE/daic_processed_research.zip,participant label,DAIC-WOZ,189,C1-C5 where applicable,MPNet/early processing where applicable,processed research layer,2182,1a17bed2320433ae5ae5dbe19099eb3f7b4accacadf227b007299381f085a626
processed,DAIC processed transcript_stats.csv,DAIC-WOZ\processed_research\transcript_stats.csv,00_RAW_LINEAGE/daic_processed_research.zip,participant transcript summary,DAIC-WOZ,189,C1-C5 where applicable,MPNet/early processing where applicable,processed research layer,21464,1641a81be81f01455649813dbd0f0eac3f18550f3113c96d9c3e4a2ec7e7551d
raw_pointer,DAIC-WOZ raw participant archives,DAIC-WOZ\压缩包,00_RAW_LINEAGE/DAIC_RAW_ARCHIVE_POINTER.txt,participant archive,190 participant archives,190,none,none,pointer-only; approximately 86 GB,40960,nan
AI24,C01-C16 item/grade outputs,PDCH/实验\outputs\pdch_all_models_all_conditions_v2_20260802\PDCH_C01-C16_逐维度全部输出字段_V2_20260802.xlsx,00_RAW_LINEAGE/ai24_condition_workbooks.zip,workbook; condition/model output rows,HAMD99/PHQ189 and early cohorts as present in workbook,sheet1:19; sheet2:9656; sheet3:9; sheet4:132,C01-C16,all available models/conditions,historical AI24 workbook,16065153,6024273d74e624575e5c9d23741bf1a693e4382cfb9f5c7b1c52c7c2cfca887c
AI24,C17-C24 event outputs,PDCH/实验\outputs\pdch_all_models_all_conditions_v2_20260802\PDCH_C17-C24_探索性事件全部输出字段_V2_20260802.xlsx,00_RAW_LINEAGE/ai24_condition_workbooks.zip,workbook; condition/model output rows,HAMD99/PHQ189 and early cohorts as present in workbook,sheet1:18; sheet2:46634; sheet3:47; sheet4:41,C17-C24,all available models/conditions,historical exploratory AI24 workbook,20070320,4bcdca048937ca98973f6b2495704f59a9305f0de1e069ca0eaeae6ea34e9e75
AI24,AI24 all-condition combined workbook,PDCH/实验\outputs\pdch_all_models_all_conditions_v2_20260802\PDCH_PHQ_HAMD_所有模型所有条件完整汇总_V2_20260802.xlsx,00_RAW_LINEAGE/ai24_condition_workbooks.zip,workbook; condition/model output rows,HAMD99/PHQ189 and early cohorts as present in workbook,sheet1:24; sheet2:28957; sheet3:344; sheet4:1161; sheet5:9765; sheet6:618; sheet7:97,C01-C24,all available models/conditions,historical AI24 combined workbook,31314353,8dc26f6b13fb2a14ef72ced418eaedd400c6fad8215c6f23120f4adddbfc57a2
AI24,C01-C16 item/grade outputs,PDCH/实验\outputs\pdch_all_models_all_conditions_v3_missing9_20260802\PDCH_C01-C16_逐维度全部输出字段_V3_缺失值9_20260802.xlsx,00_RAW_LINEAGE/ai24_condition_workbooks.zip,workbook; condition/model output rows,HAMD99/PHQ189 and early cohorts as present in workbook,sheet1:19; sheet2:9656; sheet3:9; sheet4:132,C01-C16,all available models/conditions,historical AI24 missing9 version,16068990,2f78d31e3405ca2dbd75e6dba2b7326378ea08266f0ff1ffc84e6122c1617af3
AI24,C17-C24 event outputs,PDCH/实验\outputs\pdch_all_models_all_conditions_v3_missing9_20260802\PDCH_C17-C24_探索性事件全部输出字段_V3_缺失值9_20260802.xlsx,00_RAW_LINEAGE/ai24_condition_workbooks.zip,workbook; condition/model output rows,HAMD99/PHQ189 and early cohorts as present in workbook,sheet1:18; sheet2:46634; sheet3:47; sheet4:41,C17-C24,all available models/conditions,historical exploratory missing9 version,20070355,7fea59703ed9f477c39d3f0874db4c7f6a30dd9186e481c61aace41b7992340a
AI24,AI24 all-condition combined workbook,PDCH/实验\outputs\pdch_all_models_all_conditions_v3_missing9_20260802\PDCH_PHQ_HAMD_所有模型所有条件完整汇总_V3_缺失值9_20260802.xlsx,00_RAW_LINEAGE/ai24_condition_workbooks.zip,workbook; condition/model output rows,HAMD99/PHQ189 and early cohorts as present in workbook,sheet1:24; sheet2:28957; sheet3:344; sheet4:1161; sheet5:9765; sheet6:618; sheet7:97,C01-C24,all available models/conditions,historical missing9 combined workbook,31327878,91da700436d265793a7344d6681d79bed25464ab9d01b9f88ed46296db746965
canonical,canonical corrected prompt fields,PDCH/实验\outputs\pdch_all_prompt_fields_corrected_20260807\04_评分维度明细.csv,01_FROZEN_INPUT/canonical_input_bundle.zip,subject × item × model × condition × thinking_mode,HAMD99 + PHQ189,123193,C03/C04/C07/C08/C11/C12/C15/C16 item scoring,HAMD GLM/Kimi/Qwen; PHQ DeepSeek/GLM/Qwen,current canonical derived input,91659121,34ec669d677860b2b671d01f3f3d77a66d669ec693cd64cf42347eb1bdc2fa4d
