source_path,relative_path,workspace,size_bytes,modified_at,freeze_status,reason,sha256
PDCH\大句分析\HAMD_Merged_Dialogue_Dataset.xlsx,大句分析/HAMD_Merged_Dialogue_Dataset.xlsx,大句分析,1339363,2026-03-16T13:04:28.769194+00:00,selected_in_zip,initial source/label/result artifact,bfc0b3549fd46425d153af416b97be490e53535e51c0a8630e4771304b5cbce4
PDCH\分患者分析\3async_full_text_rating.py,分患者分析/3async_full_text_rating.py,分患者分析,8274,2026-04-15T02:04:43.938223+00:00,pointer_only,per-patient raw dialogue/API layer; pointer retained,nan
PDCH\分患者分析\advanced_statistical_analysis.py,分患者分析/advanced_statistical_analysis.py,分患者分析,9818,2026-03-19T02:27:02.891518+00:00,pointer_only,per-patient raw dialogue/API layer; pointer retained,nan
PDCH\分患者分析\Analysis_Results\05_偏差分析.png,分患者分析/Analysis_Results/05_偏差分析.png,分患者分析,197835,2026-03-18T09:11:16.511672+00:00,selected_in_zip,early event/full-text scoring or similarity result,7a903bb2c5acfd6e0444d414137e8b71520c2bad0b8da471e7930da8e008a5ea
PDCH\分患者分析\Analysis_Results\06_各维度误差热力图.png,分患者分析/Analysis_Results/06_各维度误差热力图.png,分患者分析,417922,2026-03-18T08:36:38.334226+00:00,selected_in_zip,early event/full-text scoring or similarity result,af761f03980401a802972f148e1300bcbd0a734e653db837a521362a74c51f64
PDCH\分患者分析\Analysis_Results\07_各维度偏差热力图.png,分患者分析/Analysis_Results/07_各维度偏差热力图.png,分患者分析,440401,2026-03-18T08:36:39.459118+00:00,selected_in_zip,early event/full-text scoring or similarity result,02d43cc5d0adc53e37bdeb7fa8f9b7a34e1395a6533e1fb806825be5436b571e
PDCH\分患者分析\Analysis_Results\Advanced_Stats\Confidence_Calibration_Bar.png,分患者分析/Analysis_Results/Advanced_Stats/Confidence_Calibration_Bar.png,分患者分析,122959,2026-03-19T01:56:41.133523+00:00,selected_in_zip,early event/full-text scoring or similarity result,f795ad857817b2103232fe6601f49069ba21ed1a37dfcea0585c38fbf1f12a89
PDCH\分患者分析\Analysis_Results\Advanced_Stats\Dimension_Cluster_Heatmap.png,分患者分析/Analysis_Results/Advanced_Stats/Dimension_Cluster_Heatmap.png,分患者分析,470225,2026-03-19T01:56:40.561340+00:00,selected_in_zip,early event/full-text scoring or similarity result,1bfedc8ab8411461046b473566caf5e30c1ffdf4852bc5bd6234b721eb95f446
PDCH\分患者分析\Analysis_Results\Advanced_Stats\Dimension_Clusters.xlsx,分患者分析/Analysis_Results/Advanced_Stats/Dimension_Clusters.xlsx,分患者分析,5780,2026-03-19T01:56:39.321260+00:00,selected_in_zip,early event/full-text scoring or similarity result,9407f9aa5658d585a233fdd403c0f5d18f740edb64cc3e1dc093e1899f948a08
PDCH\分患者分析\Analysis_Results\Advanced_Stats\Dimension_Tolerance_Accuracy.png,分患者分析/Analysis_Results/Advanced_Stats/Dimension_Tolerance_Accuracy.png,分患者分析,168840,2026-03-19T02:27:39.573277+00:00,selected_in_zip,early event/full-text scoring or similarity result,330bc0d15447755d82dea02d203a6401896dfdce4eadc69d00752c8706dc210f
PDCH\分患者分析\Analysis_Results\Advanced_Stats\Inter_Rater_Reliability.xlsx,分患者分析/Analysis_Results/Advanced_Stats/Inter_Rater_Reliability.xlsx,分患者分析,5169,2026-03-19T02:27:38.298024+00:00,selected_in_zip,early event/full-text scoring or similarity result,4e69b24826350f562c6074a184954132c2b391efb1e1e6949f135fae7cfa12ec
PDCH\分患者分析\Analysis_Results\Advanced_Stats\Significance_Test.txt,分患者分析/Analysis_Results/Advanced_Stats/Significance_Test.txt,分患者分析,97,2026-03-19T02:27:39.601793+00:00,pointer_only,non-result,nan
PDCH\分患者分析\Analysis_Results\Advanced_Stats\Tolerance_Accuracy_1.xlsx,分患者分析/Analysis_Results/Advanced_Stats/Tolerance_Accuracy_1.xlsx,分患者分析,5675,2026-03-19T02:27:38.463113+00:00,selected_in_zip,early event/full-text scoring or similarity result,9c8fd60b5c1ef4b7b41746faed6a7edb9df1af266c24575143b8b71e774cdcbd
PDCH\分患者分析\Analysis_Results\AI_模型全面分析报告.txt,分患者分析/Analysis_Results/AI_模型全面分析报告.txt,分患者分析,6413,2026-03-18T09:11:16.526007+00:00,pointer_only,non-result,nan
