directory,existing_manifest_status,existing_file_count,existing_bytes,audit_status,recommended_action,reason,source_path
_plos_repro,manifest_unavailable,4,82833,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\_plos_repro
_plos_smoke,completed_statistics_and_figures_pending_visual_review,33,5848213,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\_plos_smoke
_smoke_coverage_aware_partial_20260827,PASS,23,25807613,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\_smoke_coverage_aware_partial_20260827
_smoke_coverage_aware_partial_latest,manifest_unavailable,0,0,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\_smoke_coverage_aware_partial_latest
_smoke_heterogeneous_condition_total_20260827,PASS,31,21620015,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\_smoke_heterogeneous_condition_total_20260827
_smoke_p1_heterogeneous_condition_total_20260827,PASS,24,37656581,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\_smoke_p1_heterogeneous_condition_total_20260827
_smoke_three_strategy_20260827,PASS,24,347476780,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\_smoke_three_strategy_20260827
_teacher_reanalysis_smoke,manifest_unavailable,8,5726419,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\_teacher_reanalysis_smoke
glm_hamd99_c17_c24_concurrency20_20260725,manifest_unavailable,2,497,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\glm_hamd99_c17_c24_concurrency20_20260725
glm_hamd99_c17_c24_repair5_20260725,manifest_unavailable,2,497,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\glm_hamd99_c17_c24_repair5_20260725
glm_hamd99_c17_c24_resume_20260724,manifest_unavailable,2,168,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\glm_hamd99_c17_c24_resume_20260724
glm_hamd99_c17_c24_run_20260724,manifest_unavailable,2,497,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\glm_hamd99_c17_c24_run_20260724
glm_hamd99_c17_c24_targeted_repair_20260725,manifest_unavailable,2,497,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\glm_hamd99_c17_c24_targeted_repair_20260725
glm_hamd99_c21_033A_repair_20260725,manifest_unavailable,2,492,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\glm_hamd99_c21_033A_repair_20260725
hamd_phq_multicondition_path_v1,COMPLETE_FOR_AVAILABLE_STAGE2_TABLES | PASS,100,413256832,already_in_freeze,already_copied_or_bundled,current freeze includes a readable artifact or bundle,PDCH/实验\outputs\hamd_phq_multicondition_path_v1
pdch_24_full_20260701,manifest_unavailable,8,97519010,historical_reference_missing,bundle_selected_evidence,早期 24 人全量分析和研究演变,PDCH/实验\outputs\pdch_24_full_20260701
pdch_ai_complete_export_20260821,manifest_unavailable,8,24035742,evidence_missing,bundle_selected_evidence,AI records、evidence quotes、factor outputs,PDCH/实验\outputs\pdch_ai_complete_export_20260821
pdch_ai_handoff_20260819,manifest_unavailable,317,242984617,already_in_freeze,already_copied_or_bundled,current freeze includes a readable artifact or bundle,PDCH/实验\outputs\pdch_ai_handoff_20260819
pdch_all_models_all_conditions_v2_20260802,manifest_unavailable,7857,2051316583,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_all_models_all_conditions_v2_20260802
pdch_all_models_all_conditions_v3_missing9_20260802,manifest_unavailable,10,1178106804,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_all_models_all_conditions_v3_missing9_20260802
pdch_all_prompt_fields_corrected_20260807,manifest_unavailable,10,660095757,already_in_freeze,already_copied_or_bundled,current freeze includes a readable artifact or bundle,PDCH/实验\outputs\pdch_all_prompt_fields_corrected_20260807
pdch_all_results_fields_20260802,manifest_unavailable,7883,4361338642,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_all_results_fields_20260802
pdch_all_subject_score_comparison_20260730,manifest_unavailable,7823,716529009,historical_reference_missing,bundle_selected_evidence,逐被试总分比较历史输出,PDCH/实验\outputs\pdch_all_subject_score_comparison_20260730
pdch_analysis_presentation_20260825,manifest_unavailable,254,56626282,pointer_only_appropriate,pointer_only,"smoke, failed, partial, raw extraction, duplicate or historical output; keep path/status pointer",PDCH/实验\outputs\pdch_analysis_presentation_20260825
pdch_complete_analysis_20260803,manifest_unavailable,107,1066595160,historical_reference_missing,bundle_selected_evidence,早期全部可行分析和 C03-C16 逐题误差工作簿,PDCH/实验\outputs\pdch_complete_analysis_20260803
