scale,analysis_layer,model,strategy,item_id,item_name,full_cohort_selected_condition_id,full_cohort_selected_condition,selection_reason,full_cohort_common_subject_n,selected_corrected_rho,selected_item_MAE,C03_item_MAE,delta_item_MAE,selected_item_NAE,C03_item_NAE,selected_coverage,C03_coverage,outer_route_top_condition,outer_route_top_frequency,outer_route_normalized_entropy,full_map_matches_outer_mode,cell_total_generalization_supported,future_use_status
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,A,1,兴趣或愉悦感降低,15,C15,max_corrected_rho,189,0.51680347033521,0.6190476190476191,0.6137566137566137,0.005291005291005346,0.20634920634920634,0.20458553791887124,1.0,1.0,C15,0.92,0.1340597300674243,True,True,仅作为未来独立样本的前瞻候选映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,A,2,情绪低落、抑郁或无望,11,C11,max_corrected_rho,189,0.657007418828623,0.5291005291005291,0.5343915343915344,-0.005291005291005346,0.17636684303350966,0.17813051146384476,1.0,1.0,C11,0.66,0.4161655642740054,True,True,仅作为未来独立样本的前瞻候选映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,A,3,睡眠问题,3,C03,max_corrected_rho,189,0.593832829628865,0.49206349206349204,0.49206349206349204,0.0,0.16402116402116398,0.16402116402116398,1.0,1.0,C03,0.98,0.04714684751394022,True,True,仅作为未来独立样本的前瞻候选映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,A,4,疲劳或精力不足,7,C07,max_corrected_rho,189,0.4590361344133016,0.7671957671957672,0.8095238095238095,-0.042328042328042326,0.25573192239858905,0.2698412698412698,1.0,1.0,C07,0.7,0.3908586925223643,True,True,仅作为未来独立样本的前瞻候选映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,A,5,食欲问题,8,C08,max_corrected_rho,189,0.1892512460883434,0.8941798941798942,0.9153439153439153,-0.021164021164021163,0.2980599647266314,0.3051146384479718,1.0,1.0,C08,0.4,0.701499483853388,True,True,仅作为未来独立样本的前瞻候选映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,A,6,自我评价低或让家人失望,11,C11,max_corrected_rho,189,0.4222596553955444,0.6349206349206349,0.671957671957672,-0.03703703703703709,0.21164021164021163,0.2239858906525573,1.0,1.0,C11,0.64,0.3142277297518308,True,True,仅作为未来独立样本的前瞻候选映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,A,7,注意力困难,16,C16,max_corrected_rho,189,0.32764818900644943,0.7354497354497355,0.6984126984126984,0.03703703703703709,0.24514991181657847,0.2328042328042328,1.0,1.0,C16,0.92,0.15569381338633448,True,True,仅作为未来独立样本的前瞻候选映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,A,8,动作或语速改变,16,C16,max_corrected_rho,189,0.1263903431630191,0.4126984126984127,0.3333333333333333,0.07936507936507936,0.13756613756613756,0.1111111111111111,1.0,1.0,C16,0.56,0.5403836443876168,True,True,仅作为未来独立样本的前瞻候选映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,GLM-5.2,A,1,兴趣或愉悦感降低,3,C03,max_corrected_rho,189,0.5603480257809339,0.49206349206349204,0.49206349206349204,0.0,0.164021164021164,0.164021164021164,1.0,1.0,C03,0.48,0.47861068174398097,True,False,不建议替换C03；仅保留为探索性全样本映射
PHQ-8,PHQ8_complete,GLM-5.2,A,2,情绪低落、抑郁或无望,11,C11,max_corrected_rho,189,0.6819406226652736,0.5291005291005291,0.5343915343915344,-0.005291005291005346,0.17636684303350966,0.1781305114638448,1.0,1.0,C11,0.62,0.3193473407420999,True,False,不建议替换C03；仅保留为探索性全样本映射
