method,item_id,item_name,subject_n,item_MAE,item_NAE
C03_DeepSeek,1,兴趣或愉悦感降低,189,0.6137566137566137,0.20458553791887124
C03_DeepSeek,2,情绪低落、抑郁或无望,189,0.5343915343915344,0.17813051146384476
C03_DeepSeek,3,睡眠问题,189,0.49206349206349204,0.16402116402116398
C03_DeepSeek,4,疲劳或精力不足,189,0.8095238095238095,0.2698412698412698
C03_DeepSeek,5,食欲问题,189,0.9153439153439153,0.3051146384479718
C03_DeepSeek,6,自我评价低或让家人失望,189,0.671957671957672,0.2239858906525573
C03_DeepSeek,7,注意力困难,189,0.6984126984126984,0.2328042328042328
C03_DeepSeek,8,动作或语速改变,189,0.3333333333333333,0.1111111111111111
C03_GLM,1,兴趣或愉悦感降低,189,0.49206349206349204,0.164021164021164
C03_GLM,2,情绪低落、抑郁或无望,189,0.5343915343915344,0.1781305114638448
C03_GLM,3,睡眠问题,189,0.5079365079365079,0.1693121693121693
C03_GLM,4,疲劳或精力不足,189,0.6984126984126984,0.23280423280423276
C03_GLM,5,食欲问题,189,0.8783068783068783,0.2927689594356261
C03_GLM,6,自我评价低或让家人失望,189,0.5767195767195767,0.19223985890652553
C03_GLM,7,注意力困难,189,0.6296296296296297,0.2098765432098765
C03_GLM,8,动作或语速改变,189,0.3544973544973545,0.11816578483245149
C03_Qwen,1,兴趣或愉悦感降低,189,0.6084656084656085,0.20282186948853614
C03_Qwen,2,情绪低落、抑郁或无望,189,0.5026455026455027,0.16754850088183423
C03_Qwen,3,睡眠问题,189,0.47619047619047616,0.15873015873015872
C03_Qwen,4,疲劳或精力不足,189,0.7883597883597884,0.26278659611992944
C03_Qwen,5,食欲问题,189,0.9312169312169312,0.31040564373897706
C03_Qwen,6,自我评价低或让家人失望,189,0.6825396825396826,0.2275132275132275
C03_Qwen,7,注意力困难,189,0.671957671957672,0.2239858906525573
C03_Qwen,8,动作或语速改变,189,0.3333333333333333,0.1111111111111111
CrossAI,1,兴趣或愉悦感降低,189,0.5248677248677248,0.1749559082892416
CrossAI,2,情绪低落、抑郁或无望,189,0.5301587301587302,0.17671957671957672
CrossAI,3,睡眠问题,189,0.5529100529100529,0.1843033509700176
CrossAI,4,疲劳或精力不足,189,0.7523809523809524,0.25079365079365085
CrossAI,5,食欲问题,189,0.9026455026455026,0.30088183421516757
CrossAI,6,自我评价低或让家人失望,189,0.6322751322751323,0.21075837742504408
CrossAI,7,注意力困难,189,0.7259259259259259,0.2419753086419753
CrossAI,8,动作或语速改变,189,0.391005291005291,0.13033509700176366
WithinAI_DeepSeek,1,兴趣或愉悦感降低,189,0.638095238095238,0.21269841269841272
WithinAI_DeepSeek,2,情绪低落、抑郁或无望,189,0.5513227513227512,0.1837742504409171
WithinAI_DeepSeek,3,睡眠问题,189,0.5232804232804233,0.1744268077601411
WithinAI_DeepSeek,4,疲劳或精力不足,189,0.7968253968253968,0.2656084656084656
WithinAI_DeepSeek,5,食欲问题,189,0.9126984126984127,0.30423280423280424
WithinAI_DeepSeek,6,自我评价低或让家人失望,189,0.6391534391534393,0.21305114638447972
WithinAI_DeepSeek,7,注意力困难,189,0.7052910052910053,0.23509700176366846
WithinAI_DeepSeek,8,动作或语速改变,189,0.3370370370370371,0.11234567901234568
WithinAI_GLM,1,兴趣或愉悦感降低,189,0.5248677248677248,0.1749559082892416
WithinAI_GLM,2,情绪低落、抑郁或无望,189,0.5370370370370371,0.1790123456790123
WithinAI_GLM,3,睡眠问题,189,0.5328042328042328,0.17760141093474424
WithinAI_GLM,4,疲劳或精力不足,189,0.7052910052910053,0.23509700176366838
WithinAI_GLM,5,食欲问题,189,0.8888888888888888,0.2962962962962963
WithinAI_GLM,6,自我评价低或让家人失望,189,0.6322751322751323,0.21075837742504408
WithinAI_GLM,7,注意力困难,189,0.7015873015873014,0.23386243386243383
WithinAI_GLM,8,动作或语速改变,189,0.42116402116402113,0.14038800705467372
WithinAI_Qwen,1,兴趣或愉悦感降低,189,0.6275132275132276,0.2091710758377425
WithinAI_Qwen,2,情绪低落、抑郁或无望,189,0.5005291005291006,0.16684303350970017
WithinAI_Qwen,3,睡眠问题,189,0.517989417989418,0.17266313932980595
WithinAI_Qwen,4,疲劳或精力不足,189,0.753968253968254,0.25132275132275134
WithinAI_Qwen,5,食欲问题,189,0.917989417989418,0.3059964726631393
WithinAI_Qwen,6,自我评价低或让家人失望,189,0.6455026455026455,0.21516754850088182
WithinAI_Qwen,7,注意力困难,189,0.7132275132275131,0.2377425044091711
WithinAI_Qwen,8,动作或语速改变,189,0.3661375661375661,0.12204585537918872
